SampleID,Site,Use,Replicate,MidDepth,SOC,Horizon,ppt,temp,pet,ari,ep,pptpet
HAY-N04-S150-20180508,HAY,N,4,112.5,0.415142,NA,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
HAY-A01-S005-20180508,HAY,A,1,2.5,1.1737899999999999,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A02-S005-20180508,HAY,A,2,2.5,0.907506,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A03-S005-20180508,HAY,A,3,2.5,0.969891,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A04-S005-20180508,HAY,A,4,2.5,0.797036,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A01-S015-20180508,HAY,A,1,10,0.844855,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A02-S015-20180508,HAY,A,2,10,0.820728,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A03-S015-20180508,HAY,A,3,10,0.704693,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A04-S015-20180508,HAY,A,4,10,0.835766,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A01-S030-20180508,HAY,A,1,22.5,0.705445,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A02-S030-20180508,HAY,A,2,22.5,0.603368,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A03-S030-20180508,HAY,A,3,22.5,0.609499,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
