SampleID,Site,Use,Horizon,MidDepth,eoc,mbc,ppt,tmp,pet,ari,ep,pptpet,FracFine_avg,FracFine_sd,FracCoarse_avg,FracCoarse_sd,FracTotal_avg,FracTotal_sd,eocfine,eoccoarse,eoctotal
HNC_N_S075,HNC,N,NA,52.5,0.03522986073423424,126.83436048448448,739.78939955255,12.72064430164714,1671.9999817600035,0.4234000146389008,-1.2601026491745984,0.4424577796788147,NA,NA,NA,NA,NA,NA,NA,NA,NA
HNC_N_S120,HNC,N,NA,97.5,0.03706197400859629,89.42599523938438,739.78939955255,12.72064430164714,1671.9999817600035,0.4234000146389008,-1.2601026491745984,0.4424577796788147,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_A_S005,JEF,A,NA,2.5,0.06448699371088598,203.86124033610116,964.298560872478,12.757451933249971,1464.999997240002,0.6420000195503235,-0.5192390165080196,0.6582242748731574,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_A_S015,JEF,A,NA,10,0.01192898895486734,190.73108103048415,964.298560872478,12.757451933249971,1464.999997240002,0.6420000195503235,-0.5192390165080196,0.6582242748731574,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_A_S030,JEF,A,NA,22.5,0.02614982528531554,196.0552929259848,964.298560872478,12.757451933249971,1464.999997240002,0.6420000195503235,-0.5192390165080196,0.6582242748731574,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_A_S075,JEF,A,NA,52.5,0.02272033602144542,166.82842469581843,964.298560872478,12.757451933249971,1464.999997240002,0.6420000195503235,-0.5192390165080196,0.6582242748731574,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_A_S120,JEF,A,NA,97.5,0.01968987948834802,150.14489625893611,964.298560872478,12.757451933249971,1464.999997240002,0.6420000195503235,-0.5192390165080196,0.6582242748731574,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_N_S005,JEF,N,NA,2.5,0.14039701044293468,166.26662523353642,990.8734039677352,12.681235151728924,1468.0000160799962,0.6761000156402588,-0.4815212621528764,0.6749818754182761,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_N_S015,JEF,N,NA,10,0.08954769949894965,184.73080728573908,990.8734039677352,12.681235151728924,1468.0000160799962,0.6761000156402588,-0.4815212621528764,0.6749818754182761,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_N_S030,JEF,N,NA,22.5,0.08725366982977942,124.74805601656716,990.8734039677352,12.681235151728924,1468.0000160799962,0.6761000156402588,-0.4815212621528764,0.6749818754182761,NA,NA,NA,NA,NA,NA,NA,NA,NA
JEF_N_S075,JEF,N,NA,52.5,0.03231635211699503,179.45850098978391,990.8734039677352,12.681235151728924,1468.0000160799962,0.6761000156402588,-0.4815212621528764,0.6749818754182761,NA,NA,NA,NA,NA,NA,NA,NA,NA
